,,,,,308,,,,
pid,reprLat,reprLong,title2,country,description,featureTypes,id,tags,timePeriodsRange
579885,37.971421,23.726166,Acropolis of Athens,GR,The acropolis of the ancient city,"temple,",acropolis-of-athens,"Poseidon, UWHS, Athena","-750.0,640.0"
599587,37.401667,25.267222,Agora of the Italians,GR,Hellenistic and Roman complex on the island of Delos,"temple,",agora-of-the-italians,,"-330.0,640.0"
462412,37.134221,15.025667,Anaktoron at Pantalika,IT,"The Anaktoron is an enigmatic megalithic building associated with the prehistoric Sicilian settlement of Pantalica; its polygonal blocks may date to the 12-11th c. BC, but the current form of the building seems to be the result of Byzantine reconstruction","unknown, temple,",anaktoron-at-pantalika,polygonal masonry,"-2000.0,850.0"
423013,41.839275,12.8917156,Antro delle Sorti,IT,Location based on OpenStreetMap; the cave of Fortuna.,"temple, cave,",antro-delle-sorti,,"-750.0,300.0"
413332,42.258811,11.801528,Ara della Regina,IT,A fourth to third century BC sanctuary at Tarquinia,"temple,",ara-della-regina,,"-330.0,300.0"
177490,47.217039,3.483594,Archaeological remains of Gallo-Roman temple and settlement,FR,,unknown,archaeological-remains-of-gallo-roman-temple-and-settlement,,"-330.0,640.0"
177603,47.1117209,7.2907005,Archaeological site of temple complex,CH,,unknown,archaeological-site-of-temple-complex,,"-30.0,640.0"
138454,47.299388,-1.376459,Archaeological site of the temple,FR,Site of Gallo-Roman sanctuary of Vieille-Cour at Mauves-sur-Loire (Loire-Atlantique),unknown,archaeological-site-of-the-temple,,"-30.0,640.0"
109278,49.9644208005,2.5540398372,Archaeological site of the temple,FR,,unknown,archaeological-site-of-the-temple,,"-330.0,640.0"
109248,48.163734,2.202981,Archaeological site: temple,FR,,"temple,",archaeological-site-temple,,"-30.0,640.0"
413107,42.410833,11.286111,Arx of Cosa,IT,The citadel of the ancient city and location of its Capitolium.,"temple,",capitolium-of-cosa,"Shrine, Iuppiter","-330.0,300.0"
570479,37.175372,21.920524,Asklepieion of Messene,GR,"The Asklepieion in Ancient Messene is a sanctuary of Asklepios, Greek god of healing, constructed in 214 BC; the complex includes civic as well as religious buildings","temple,",the-asklepieion,"temple, Asclepius, dare:feature=temple","-330.0,300.0"
256155,38.916421,-6.344272,Center of surviving colonnade of the imperial temple at Mérida,ES,"The incorrectly so-called ""Temple of Diana."" Digitized in Google Earth (with reference to geolocated Panoramio photos and Google Street View) in July 2012 at an eye altitude of 400m.","temple,",center-of-surviving-colonnade-of-the-imperial-temple-at-merida,,"-30.0,640.0"
570182,37.906033,22.879189,Center of the Temple of Apollo at Corinth,GR,The second temple of Apollo at Corinth whose reconstructed remains are visible on the site today.,unknown,center-of-the-temple-of-apollo-at-corinth,,"-550.0,640.0"
570531,37.637807,21.630049,Center of the Temple of Zeus at Olympia,GR,,unknown,center-of-the-temple-of-zeus-at-olympia,,"-750.0,300.0"
727070,31.181944,29.896944,Center of the visible remains of the Serapeum,EG,The Serapeum in Alexandria was a temple to Serapis erected by Ptolemy III in the 3rd century BCE. It was destroyed in 391 AD.,"architecturalcomplex, temple,",center-of-the-visible-remains-of-the-serapeum,place,"-330.0,300.0"
440947682,25.133999,32.817842,Center of Visible Remains of Settlement at El Kab,EG,The ancient settlements and temples surrounded by a fortified wall.,unknown,center-of-visible-remains-of-settlement-at-el-kab,,"-2950.0,-1086.0"
138492,45.282385,-0.838316,Center point of the remains of the temple,FR,,unknown,center-point-of-the-remains-of-the-temple,,"-30.0,640.0"
108822,49.941391,1.121853,Center point of the site,FR,"A Celtic and a Gallo-Roman oppidum (52 ha) with a temple (fanum). The site is located at Camp de César (also Cité de Limes), commune Bracquemont / Neuville-lès-Dieppe, département Seine-Maritime.",unknown,center-point-of-the-site,,"-330.0,300.0"
776186,25.522623,29.319825,Centerpoint of Ain Birbiyeh,EG,The centerpoint of the temple at Ain Birbiyeh,unknown,centerpoint-of-ain-birbiyeh,,"-330.0,-30.0"
17649950,51.512683,-0.091659,Centerpoint of current location,GB,The temple was relocated to this site shortly after its excavation from a nearby location.,unknown,centerpoint-of-current-location,,"1700.0,2100.0"
690508611,55.001553,-1.828568,Centerpoint of temple (approx),GB,,"temple,",centerpoint-of-temple-approx,,"-30.0,640.0"
17649950,51.512332,-0.090588,Centerpoint of the ancient site,GB,Findspot of temple. It was relocated shortly after its excavation to a nearby location.,unknown,centerpoint-of-the-ancient-site,,"-30.0,300.0"
462086,37.289646,13.591997,Centerpoint of the so-called Temple of Concordia at Agrigento,IT,DARMC location 19704 (500K scale point location),unknown,darmc-location-19704,,"-750.0,640.0"
599506,37.39947,25.267214,Sanctuary of Apollo on Delos,GR,"Representative point location, site precision",temple,dare-location,,"-750.0,300.0"
570059,37.891953,22.873608,Akrokorinthos,GR,"Representative point location, site precision",temple,dare-location,,"-750.0,300.0"
570148,37.429653,21.900415,Bassai,GR,"Representative point location, site precision",temple,dare-location,,"-750.0,300.0"
570288,38.028187,22.8522,Heraion,GR,"Representative point location, site precision",temple,dare-location,,"-750.0,300.0"
570289,37.691944,22.774722,Heraion (Argolis),GR,"Representative point location, site precision",temple,dare-location,,"-750.0,300.0"
570316,37.915927,22.993169,Isthmia,GR,"Representative point location, site precision",temple,dare-location,,"-750.0,300.0"
638958,36.331944,29.289722,Letoon,TR,"Representative point location, site precision",temple,dare-location,,"-330.0,300.0"
599528,36.875681,27.257012,Asklepieion (Kos),GR,"Representative point location, site precision",temple,dare-location,,"-550.0,300.0"
295310,36.574975,2.552837,Monumentum Regiae Gentis,DZ,"Representative point location, site precision",temple,dare-location,,"-330.0,300.0"
148046,43.681944,5.197222,Château-Bas,FR,"Representative point location, site precision",temple,dare-location,,"-30.0,640.0"
148047,44.0619,5.681783,Châtelard de Lardiers,FR,"Representative point location, site precision",temple,dare-location,,"-750.0,640.0"
148174,43.532393,5.27003,Roquepertuse,FR,"Representative point location, site precision",temple,dare-location,,"-330.0,-30.0"
69544,48.346449,0.075101,Oisseau-Le-Petit,FR,"Representative point location, site precision",temple,dare-location,,"-30.0,640.0"
697687,30.907378,35.702957,Khirbet et-Tannur,JO,"Representative point location, site precision",temple,dare-location,,"-30.0,300.0"
707476,34.672532,32.863627,Temple of Apollo Hylates,CY,"Representative point location, site precision",temple,dare-location,,"-750.0,300.0"
707511,34.899649,32.311513,Geronisos,CY,"Representative point location, site precision",temple,dare-location,,"-330.0,300.0"
736952,29.27412,30.898765,Labyrinthos,EG,"Representative point location, site precision",temple,dare-location,,"-550.0,300.0"
736953,29.236192,30.970699,el-Lahun,EG,"Representative point location, site precision",temple,dare-location,,"-330.0,640.0"
589700,36.375016,28.030801,Temple of Apollo Erethimios,GR,"Representative point location, site precision",temple,dare-location,,"-750.0,300.0"
599529,37.077965,25.140825,Temple of Asklepieion,GR,"Representative point location, site precision",temple,dare-location,,"-750.0,300.0"
599641,37.67175,26.885663,Heraion,GR,"Representative point location, site precision",temple,dare-location,,"-750.0,300.0"
599719,38.004725,27.192987,Klaros,TR,"Representative point location, site precision",temple,dare-location,,"-750.0,-30.0"
599745,37.418971,27.819967,Labraunda,TR,"Representative point location, site precision",temple,dare-location,,"-550.0,640.0"
599855,37.703924,27.329993,Panionion,TR,"Representative point location, village precision",temple,dare-location,,"-750.0,300.0"
550734,39.196383,26.30533,Messon,GR,"Representative point location, site precision",temple,dare-location,,"-750.0,640.0"
432813,41.110608,14.253623,Temple of Diana Tifatina,IT,"Representative point location, village precision",temple,dare-location,,"-550.0,640.0"
432886,42.002986,13.990212,‘Iovis Lareni’,IT,"Representative point location, site precision",temple,dare-location,,"-330.0,300.0"
432918,41.31056,13.20028,Lucus Feroniae,IT,"Representative point location, village precision",temple,dare-location,,"-330.0,300.0"
433025,41.740515,14.387746,Pietrabbondante,IT,"Representative point location, site precision",temple,dare-location,,"-550.0,-30.0"
433112,41.816036,14.484783,Schiavi,IT,"Representative point location, village precision",temple,dare-location,,"-330.0,-30.0"
442570,41.7081385,15.954751,Drion,IT,"Representative point location, site precision",temple,dare-location,,"-550.0,640.0"
540628,38.291099,23.846116,Amphiareion,GR,"Representative point location, site precision",temple,dare-location,,"-550.0,640.0"
540665,38.6367847,22.8955335,Temple of Artemis Elaphebolia,GR,"Representative point location, site precision",temple,dare-location,,"-750.0,300.0"
540667,39.017832,23.220954,Artemision,GR,"Representative point location, village precision",temple,dare-location,,"-750.0,640.0"
540844,38.318092,23.255096,Kabeirion,GR,"Representative point location, site precision",temple,dare-location,,"-750.0,300.0"
208942158,36.599168,9.863056,Untitled,TN,"Representative point location, site precision",temple,dare-location,,"-330.0,-30.0"
452332,39.028864,17.205128,Temple of Hera Lacinia,IT,"Representative point location, site precision",temple,dare-location,,"-750.0,640.0"
462114,37.059181,14.263184,Bitalemi,IT,"Representative point location, village precision",temple,dare-location,,"-750.0,-550.0"
786050,25.7191736,32.6566111,Karnak,EG,"Representative point location, site precision",temple,dare-location,,"-750.0,300.0"
570504,37.808904,22.7108171,Nemea,GR,"Representative point location, site precision",temple,dare-location,,"-750.0,300.0"
579884,37.652965,24.027035,Temple of Athena,GR,"Representative point location, site precision",temple,dare-location,,"-550.0,300.0"
580086,37.650263,24.024606,Temple of Poseidon,GR,"Representative point location, site precision",temple,dare-location,,"-550.0,300.0"
521046,41.178655,29.094691,Temple of Iuppiter Urius,TR,"Representative point location, site precision",temple,dare-location,,"-30.0,640.0"
530771,38.953891,20.765852,Actium,GR,"Representative point location, village precision",temple,dare-location,,"-750.0,300.0"
531011,39.236223,20.534422,Nekromanteion,GR,"Representative point location, site precision",temple,dare-location,,"-750.0,-30.0"
501510,40.5044122,25.5293013,Temple of Megaloi Theoi,GR,"Representative point location, site precision",temple,dare-location,,"-550.0,-30.0"
246696,41.132017,1.318856,Torre de los Escipiones,ES,"Representative point location, site precision",temple,dare-location,,"-30.0,300.0"
177583,46.761367,5.921531,Mont-Rivel,FR,"Representative point location, site precision",temple,dare-location,,"-330.0,640.0"
863813,41.838355,44.733449,Jvari,GE,"Representative point location, site precision",temple,dare-location,,"300.0,640.0"
863835,41.724221,43.166843,Leukothea,GE,"Representative point location, site precision",temple,dare-location,,"-550.0,300.0"
922647,30.193889,53.167222,Gabr-i Mader-i Soleiman,IR,"Representative point location, site precision",temple,dare-location,,"-550.0,-30.0"
922684,29.966486,52.887043,Naqsh-i Rajab,IR,"Representative point location, site precision",temple,dare-location,,"-30.0,300.0"
922685,29.988889,52.874722,Naqsh-i Rustam,IR,"Representative point location, site precision",temple,dare-location,,"-750.0,640.0"
668205,34.931081,36.245418,Baitokaike,SY,"Representative point location, site precision",temple,dare-location,,"-30.0,300.0"
138193,44.926111,2.440556,Aron,FR,"Representative point location, site precision",temple,dare-location,,"-30.0,640.0"
138471,47.134256,-0.110971,Montreuil-Bellay,FR,"Representative point location, village precision",temple,dare-location,,"-330.0,300.0"
138512,47.390631,-1.468331,Petit-Mars,FR,"Representative point location, site precision",temple,dare-location,,"-30.0,640.0"
138554,46.141902,-0.729046,St-Georges-du-Bois,FR,"Representative point location, site precision",temple,dare-location,,"-30.0,640.0"
413165,42.08905,13.933614,*Hercules Curinus,IT,"Representative point location, site precision",temple,dare-location,,"-330.0,300.0"
422889,41.857844,12.524306,Temple of Ceres et Faustina,IT,"Representative point location, site precision",temple,dare-location,,"-30.0,640.0"
422917,41.723936,12.710217,Temple of Diana,IT,"Representative point location, site precision",temple,dare-location,,"-750.0,640.0"
422925,41.889232,12.480883,Temple of Fortis Fortuna,IT,"Representative point location, site precision",temple,dare-location,,"-550.0,300.0"
423006,41.7302569,12.6547804,Pompeo,IT,"Representative point location, site precision",temple,dare-location,,"-330.0,640.0"
423064,41.852172,12.520874,Sep. Caecilia Metella,IT,"Representative point location, site precision",temple,dare-location,,"-330.0,640.0"
423083,41.723453,12.6646233,Tomba degli Orazi e Curiazi,IT,"Representative point location, site precision",temple,dare-location,,"-330.0,-30.0"
246238,41.1732368,1.4689465,Berà,ES,"Representative point location, site precision",temple,dare-location,,"-30.0,300.0"
246520,42.981286,0.5370247,Nistos,FR,"Representative point location, site precision",temple,dare-location,,"-30.0,640.0"
108757,48.999616,1.110515,Arnières-sur-Iton,FR,"Representative point location, site precision",temple,dare-location,,"-30.0,300.0"
108789,49.38708,2.241368,Bailleul-sur-Thérain,FR,"Representative point location, site precision",temple,dare-location,,"-330.0,640.0"
108852,49.1733,0.621389,Canetonum,FR,"Representative point location, site precision",temple,dare-location,,"-30.0,640.0"
108879,48.588425,3.110642,Châteaubleau,FR,"Representative point location, site precision",temple,dare-location,,"-30.0,640.0"
108922,48.441735,6.73517,Deneuvre,FR,"Representative point location, site precision",temple,dare-location,,"-30.0,640.0"
108962,49.133663,2.085254,Epiais-Rhus,FR,"Representative point location, village precision",temple,dare-location,,"-330.0,640.0"
108968,49.425831,2.6447348,Estrées-St-Denis,FR,"Representative point location, village precision",temple,dare-location,,"-330.0,300.0"
108987,49.854813,2.100046,Fluy,FR,"Representative point location, site precision",temple,dare-location,,"-30.0,300.0"
109013,50.4822819,6.6182597,Görresburg,DE,"Representative point location, site precision",temple,dare-location,,"-30.0,640.0"
109015,49.484666,2.661252,Gournay-sur-Aronde,FR,"Representative point location, site precision",temple,dare-location,,"-330.0,640.0"
109034,49.8997477946,6.7879379875,Heckenmünster,DE,"Representative point location, site precision",temple,dare-location,,"-30.0,300.0"
109046,49.864326,7.232994,Hochscheid,DE,"Representative point location, site precision",temple,dare-location,,"-30.0,300.0"
109063,49.7162731779,6.532162036,Igel,DE,"Representative point location, site precision",temple,dare-location,,"-30.0,300.0"
109170,49.8274734998,6.589434132,Möhn,DE,"Representative point location, site precision",temple,dare-location,,"-30.0,640.0"
109214,50.5336203,6.7030087,Nöthen,DE,"Representative point location, site precision",temple,dare-location,,"-30.0,640.0"
109244,50.2307443786,6.6747870451,Pelm,DE,"Representative point location, site precision",temple,dare-location,,"-30.0,640.0"
109252,50.1792609682,7.2886482783,Pommern-Martberg,DE,"Representative point location, site precision",temple,dare-location,,"-330.0,640.0"
109289,49.656014,2.3663599,Rouvroy-les-Merles,FR,"Representative point location, village precision",temple,dare-location,,"-30.0,300.0"
109304,49.557165,1.212792,St-André-sur-Cailly,FR,"Representative point location, site precision",temple,dare-location,,"-30.0,300.0"
109349,49.5646384113,1.8354759099,Songeons,FR,"Representative point location, village precision",temple,dare-location,,"-30.0,300.0"
109411,50.729757,6.193621,Varnenum,DE,"Representative point location, site precision",temple,dare-location,,"-30.0,300.0"
187333,46.447238,12.383583,DARMC location 15924,IT,1M scale point location,"temple,",darmc-location-15924,,"-330.0,640.0"
246566,42.450267,2.869461,DARMC location 16146,ES,1M scale point location,"temple,",darmc-location-16146,,"-330.0,640.0"
246502,41.234009,-0.044053,DARMC location 20607,ES,1M scale point location,"temple,",darmc-location-20607,,"-30.0,300.0"
423024,41.959271,12.447668,DARMC location 20632,IT,150K scale point location,"temple,",darmc-location-20632,,"-750.0,300.0"
423064,41.852196,12.520981,DARMC location 20654,IT,150K scale point location,"temple,",darmc-location-20654,,"-330.0,640.0"
805623,18.408769,31.770152,DARMC location 21391,SD,Point location,"temple, cemetery,",darmc-location-21391,,"-750.0,-330.0"
442611,40.416189,16.81695,DARMC location 7657,IT,500K scale point location,"temple,",darmc-location-7657,,"-750.0,300.0"
462487,37.94147,12.832405,Doric temple,IT,An incomplete (6 x 14) temple of the Doric order at Segesta.,"temple,",doric-temple,,"-550.0,-330.0"
422932,41.891111,12.721667,Eastern sanctuary,IT,An extra-mural sanctuary located at the eastern gate of Gabii,"temple,",eastern-sanctuary,,"-550.0,-30.0"
109190,48.632434,5.386586,Gallo-Roman temple,FR,"Archaeological remains of the Gallo-Roman temple at ancient Nasium, located at Mazeroie, commune Naix-aux-Forges",unknown,center-point-of-the-archaeological-site-nasium,,"-330.0,640.0"
871801169,41.892222,12.481667,GeoHack location of Temple of Jupiter Optimus Maximus,IT,Coordinates following GeoHack,"temple,",temple-of-jupiter-optimus-maximus,,"-750.0,640.0"
62131047,36.05,14.268889,Ġgantija Temples,MT,"Neolithic, megalithic temple complex on the Mediterranean island of Gozo dating ca. 3600-2500 BC","temple,",ggantija-temples,UWHS,"-5000.0,-2500.0"
75740664,35.827778,14.442222,Hagar Qin,MT,megalithic temple complex  (ca. 3600-3200 BC),"temple,",hagar-qin,UWHS,"-5000.0,-2500.0"
579885,37.975574,23.721393,Hephaisteion,GR,Temple of Hephaistos located on the northwest side of the Agora of Athens,"temple,",hephaisteion,"Hephaistos,Temple of  dare:feature=major temple,mple","-550.0,1450.0"
687928,31.7782502,35.2353407,Herod's Temple,,"Point on the N edge of the Dome of the Rock, at the site of the First and Second Temples. Destroyed in 70 AD during the Roman siege.","temple,",herods-temple,,"-330.0,300.0"
465970,37.329954,14.697361,"Hestiaterion, at Grotto of the Divine Palikoi, Rocchicella di Mineo, Sicily",IT,"Archeological site of sanctuary at the Grotto of Rocchicella di Mineo,Temple of  Sicily, Sanctuary of the Divine Palikoi,o boiling lakes","architecturalcomplex, temple,",center-point-of-visible-excavations,,"-750.0,850.0"
477527423,35.87,14.506389,Hypogeum of Ħal-Saflieni,MT,"A prehistoric, subterranean temple; named as a UNESCO World Heritage Site in 1980","temple,",hypogeum-of-126al-saflieni,UWHS,"-2500.0,-700.0"
312238265,36.688864,27.373294,Imagery location for Temple of Aphrodite Euploia,TR,"Location of the temple of Aphrodite Euploia at Knidos, based on satellite imagery.","temple,",temple-of-aphrodite-at-knidos,Aphrodite,"-550.0,300.0"
245438984,37.2233,38.9224,Imagery location of Göbekli Tepe,TR,"Coordinates following GeoHack, verified in Google Earth 2013.","temple,",goebekli-tepe,,"-10000.0,-3300.0"
34221419,43.924167,11.48,Imagery location of Poggio Colla site,IT,Coordinates following GeoHack.,"settlement, temple,",poggio-colla-site,,"-750.0,-30.0"
103565779,32.8223,21.862,Imagery Location of the Temple of Zeus,LY,Representative point derived from Google Earth imagery.,"temple,",temple-of-zeus-1,"Zeus, temple","-750.0,300.0"
442962448,29.9780461,31.1342169,Khufu's ship,EG,Burial pit for the solar barge of Khufu. Location based on OpenStreetMap,"temple,",khufus-ship,,"-2670.0,-2168.0"
462373,37.864674,12.465828,Kothon,IT,an artificial basin of the Punic phase; verified in Google Earth 2013,"temple,",kothon,,"-750.0,-550.0"
403291,42.8601906,10.9695523,location of 'Costa Murata' archaeological area,IT,A site with votive activity from the Archaic period and a later Roman house. Location based on OpenStreetMap,"temple,",location-of-costa-mura,,"-750.0,300.0"
432808,40.849,14.054,location of acropolis,IT,Coordinates from OSM; verified in Google Earth 2013.,"temple,",location-of-acropolis,,"-750.0,640.0"
697725,30.32245,35.451617,location of Al Khazneh,JO,"An elaborate, rock-cut monument built ca. 100 BC to AD 200","temple,",al-khazneh,UWHS,"-30.0,300.0"
452369,38.2111226,16.237691,location of Aphrodite sanctuary,IT,Location based on OpenStreetMap,"temple,",location-of-archaeological-area,,"-750.0,640.0"
740034026,41.8923136,12.4795912,"location of Apollo, Aedes",IT,Location based on OpenStreetMap,"temple,",location-of-apollo-aedes,,"-550.0,300.0"
108876,49.309085,2.85429,Location of archaeological site,FR,"The archaeological site of Champlieu has visible remains of a temple, a theater and bath",unknown,location-of-archaeological-site,,"-30.0,640.0"
442610,40.489303,14.9694937,location of Argive Heraion at Foce del Sele,IT,Location based on OpenStreetMap,"temple,",location-of-argive-heraion,,"-750.0,300.0"
265849,37.6021762,-0.9830985,location of Augusteum,ES,Location based on OpenStreetMap,"temple,",location-of-augusteum,,"-30.0,300.0"
834766850,51.4279192,-1.8531245,location of Avebury,GB,Location based on OpenStreetMap,"temple,",location-of-avebury,,"-3000.0,-2000.0"
413373,42.7225286,12.1198882,location of Belvedere Temple,IT,A fifth century BC temple of Orvieto. Coordinates after OSM; verified in Google Earth.,"temple,",location-of-belvedere-temple,,"-550.0,-330.0"
638776,36.9403887,31.1689832,location of Bouleuterion,TR,Location based on OpenStreetMap,"temple,",location-of-bouleuterion,,"-30.0,300.0"
416806,42.7126935,12.0950176,location of Campo della Fiera,IT,The archaeological excavations of the site of Campo della Fiera have been posted as the definitive location of the Fanum Voltumnae. Location based on OpenStreetMap.,"architecturalcomplex, temple,",location-of-campo-della-fiera,"Voltumna, polygonal masonry","-750.0,640.0"
315223,36.4227215,9.2180918,location of Capitolium,TN,Location based on OpenStreetMap,"temple,",location-of-capitolium,,"-30.0,300.0"
324774,35.8534856,9.2055995,location of Capitolium,TN,Location based on OpenStreetMap,"temple,",location-of-capitolium,,"-30.0,300.0"
383603,45.5399911,10.2254991,location of Capitolium temple,IT,Location based on OpenStreetMap,"temple,",location-of-capitolium-temple,,"-30.0,300.0"
29964875,41.5522485,9.230625,location of Casteddu di Tappa,FR,Location based on OpenStreetMap,"temple,",location-of-casteddu-di-tappa,,"-2000.0,-1000.0"
452352,38.4455162,16.5784254,location of Doric temple,IT,Location based on OpenStreetMap,"temple,",location-of-doric-temple,,"-550.0,-30.0"
403292,43.4012921,10.8612858,location of Etruscan acropolis,IT,Location based on OpenStreetMap,"temple,",location-of-etruscan-acropolis,,"-750.0,-30.0"
94809617,41.7471115,8.87118,location of Filitosa,FR,Location based on OpenStreetMap,"temple,",location-of-filitosa,,"-4000.0,-30.0"
167719,45.5243244,4.8756242,location of Garden of Cybele,FR,Location based on OpenStreetMap,"temple,",location-of-garden-of-cybele,,"-30.0,300.0"
863795,40.1123799,44.7302666,location of Garni temple,AM,Location based on OpenStreetMap,"temple,",location-of-garni-temple,Mithras,"-30.0,640.0"
636775194,48.4720398,-2.1457353,location of Haut Bécherel sanctuary,FR,Location based on OpenStreetMap,"temple,",location-of-haut-becherel-sanctuary,,"-30.0,300.0"
570289,37.6931186,22.7763025,location of Heraion (Argolis),GR,Location based on OpenStreetMap,"temple,",location-of-heraion-argolis,,"-550.0,300.0"
639087,37.6773583,30.5173337,location of heroön,TR,Location based on OpenStreetMap,"temple,",location-of-herooen,,"-30.0,300.0"
477915982,25.695202,32.578849,Location of Isis Temple,EG,Coordinates determined using hand-held GPS unit.,"temple,",temple,,"-30.0,300.0"
658391,37.9498898,38.6533065,Location of Kocahisar,TR,"Modern location corresponding to ancient Arsameia pros Nymphaio, located along the Nymphaios river.","temple,",location-of-kocahisar,,"1700.0,2100.0"
167836,44.4562118,5.7489152,location of La Bâtie-Montsaléon archaeological area,FR,Location based on OpenStreetMap,"settlement, temple,",location-of-la-batie-montsaleon-archaeological,,"-30.0,640.0"
79583,51.7210625,-2.5579912,location of Lydney Roman temple,GB,A fourth century AD temple dedicated to Nodens. Location based on OpenStreetMap.,"temple,",location-of-lydney-roman-temple,,"300.0,640.0"
506158212,58.9965662,-3.1882244,location of Maes Howe,GB,Location based on OpenStreetMap,"temple,",location-of-maes-howe,,"-3000.0,-2000.0"
796289136,29.8351588,31.215421,location of Mastabet el-Fara'un,EG,site of the burial of Shepseskaf (Fourth Dynasty); location verified in Google Earth based on OSM coordinates.,"temple,",location-of-mastabet-el-faraun,,"-2670.0,-2168.0"
321318358,25.7202066,32.599093,Location of Medinet Habu,EG,The mortuary temple of Ramesses III at Medinet Habu.,unknown,location_of_medinet-habu,,"-1548.0,-1086.0"
422987,41.5898051,12.9630436,location of Minor Acropolis,IT,Location based on OpenStreetMap,"temple,",location-of-minor-acropolis,,"-750.0,-30.0"
413393,42.4194343,11.6299585,location of Mithraeum,IT,Location based on OpenStreetMap,"temple,",location-of-mithraeum,,"-30.0,300.0"
647937672,40.790708,8.448867,location of Monte d'Accoddi,IT,"verified in Google Earth 2012, eye height 3706 ft. Monument dates to the third and second millennia BC.","temple,",location-of-monte-daccoddi,,"-3000.0,-1000.0"
422973,41.865272,12.549292,location of Monte del Grano,IT,"Coordinates after GeoHack, verified in Google Earth 2013.","temple,",location-of-monte-del-grano,,"-30.0,300.0"
79612,53.695006,-6.4759092,location of Newgrange,IE,Location based on OpenStreetMap,"temple,",location-of-newgrange,,"-4000.0,640.0"
756512,26.1840536,31.9181675,location of Osireion,EG,Location based on OpenStreetMap,"temple,",location-of-osireion,,"-1548.0,-1086.0"
79708,53.5804567,-6.6111621,location of Rath of the Synods,IE,Location based on OpenStreetMap,"temple, fort,",location-of-rath-of-the-synods,,"-3000.0,-2000.0"
678010,32.927364,35.077894,Location of Re-Buried Hellenistic Temple and Workshops,IL,"Excavations on site of post office at 49 Ben Ami St. revealed Hellenistic remains,  including a dedication to Zeus Soter on behalf of Antiochos VII by a courtier (SEG XIX 9094). This inscription was associated with Hellenistic architecture of a temple-like character. Nearby workshops also uncovered.","temple,",hellenistic-temple-and-workshops,Zeus,"-330.0,-30.0"
246212,41.9292546,2.2569617,location of Roman temple of Vic,ES,Location based on OpenStreetMap,"temple,",location-of-roman-temple,,"-30.0,300.0"
413333,42.3482565,14.1653599,location of Roman temples,IT,Location based on OpenStreetMap,"temple,",location-of-roman-temples,,"-30.0,300.0"
103123065,41.8907711,12.4807872,location of Sacred Area of S. Omobono,IT,Location based on OpenStreetMap,"temple,",location-of-sacred-area-of-s-omobono,,"-750.0,1453.0"
433025,41.7405276,14.3883332,location of Samnite sanctuary,IT,Location based on OpenStreetMap,"temple, theatre,",location-of-samnite-sanctuary,,"-330.0,300.0"
423081,41.9638122,12.7929228,location of Sanctuary of Hercules Victor,IT,Location based on OpenStreetMap,"temple,",location-of-sanctuary-of-hercules-victor,,"-330.0,300.0"
491572,40.176194,22.495222,location of Sanctuary of Isis,GR,The sanctuary of Isis at Dion.,"temple,",sanctuary-of-isis,Isis,"-330.0,-30.0"
756512,26.1888854,31.9084936,location of Shunet ez Zebib,EG,Location based on OpenStreetMap,"temple,",location-of-shunet-ez-zebib,,"-2950.0,-2670.0"
609570,39.2002244,30.7135629,location of so-called 'Midas Monument',TR,Location based on OpenStreetMap,"temple,",location-of-so-called-midas-monument,,"-750.0,-550.0"
