"id","lat","long"
"1000326 - Temple with portico",40.847906,14.057575
"1000327 - Masseria del Gigante",40.847826,14.058799
"1000328 - Sanctuary Alto da Vigia",38.824299,-9.47159
"1000329 - Temple at Mirobriga Celticorum",38.010284,-8.683709
"1000330 - Temple",38.572571,-7.907287
"1000331 - S. Miguel de Mota",38.64328,-7.44304
"1000332 - Calanta",38.76722,-8.03341
"1000333 - Cabeço de Fráguas",40.419579,-7.22432
"1000334 - Santuário da Ns. das Cabeças",40.339989,-7.41788
"1000335 - Sra. do Granja",40.05547,-7.25653
"1000336 - Santuário da Sra. do Almortão",39.907059,-7.17339
"1000337 - Santuário de S. Pedro de Almuro",38.997742,-7.48622
"1000338 - Roman Temple",41.929218,2.256823
"1000339 - Temple",37.884762,-4.77628
"1000340 - Temple of Diana - Emerita Augusta",38.91658,-6.34435
"1000341 - Temple",39.721661,-6.891493
"1000342 - Fortuna",38.209648,-1.11363
"1000343 - Cerro de los Santos",38.732769,-1.27022
"1000344 - Cancho Roano",38.701099,-5.68604
"1000345 - Los Cuadriales",38.432659,-6.59005
"1000346 - Santa Eulalia de Bóveda",42.979946,-7.685923
"1000347 - Temple of Serapis, Emporiae",42.133911,3.121315
"1000348 - Forum Temple, Emporiae",42.132835,3.117041
"1000349 - Temple columns",37.400253,-5.993706
"1000350 - Temple Noviodunum",48.26062,-0.498666
"1000351 - Nymphaeum Aquae Segetae",48.115402,2.622707
"1000352 - Temple",46.496559,-0.024869
"1000353 - Maison Carrée",43.838333,4.356111
"1000354 - Temple in Glanum",43.773125,4.832713
"1000355 - Tasciaca",47.324047,1.299076
"1000356 - Roman Temple",44.135654,4.807766
"1000357 - Temple of Mercury, Lutetia",48.843395,2.327117
"1000358 - Temple 'le Palais'",44.561203,4.600079
"1000359 - Temple of Augustus and Livia",45.525478,4.874246
"1000360 - Temple of the Cybele",45.524319,4.875925
"1000361 - Temple of Diana",49.103539,7.52761
"1000362 - Temple of Diana",43.839947,4.348574
"1000363 - Gisacum",49.003063,1.235978
"1000364 - Temple of Mercury",48.960583,7.616738
"1000365 - Sanctuary",46.423141,5.742032
"1000366 - Sanctuary",46.76136,5.922335
"1000367 - Sanctuary (Flaviers - Mouzon)",49.580894,5.105447
"1000368 - Temple Isarnodurum",46.2234,5.558579
"1000369 - Temple Novioregum",45.535629,-0.879376
"1000370 - Roman temple",43.681892,5.197178
"1000371 - Temple of Apollo",43.817055,6.088223
"1000372 - Forum Temple Lugdunum Convenarum",43.029804,0.573152
"1000373 - Briga",50.021584,1.462042
"1000374 - Temple complex Petromantalum",49.120399,1.771297
"1000375 - Temple of Mars",48.472012,-2.146052
"1000376 - Temple of Janus",46.96125,4.288465
"1000377 - Sanctuary",48.593163,3.109161
"1000378 - Tempel Cherre'",47.660496,0.235538
"1000379 - Tempeln Argentomagus",46.599777,1.51518
"1000380 - Tour de Vesone",45.179405,0.714345
"1000381 - Temple",47.658772,6.866085
"1000382 - Temple forêt Halatte",49.242058,2.625384
"1000383 - Temple",43.709648,-1.052306
"1000384 - Sanctuary",45.450756,2.426149
"1000385 - Temple de Mercure de la forêt de Tannière",48.131313,6.57349
"1000386 - Tour de Grisset",47.896442,1.183712
"1000387 - Sanctuary Donon",48.512527,7.164421
"1000388 - Temple - Cathédrale St Jean",44.123901,4.0761
"1000389 - Fanum - Civaux",46.444412,0.664659
"1000390 - Grannum",48.383953,5.48573
"1000391 - Temple complex",44.272472,1.294166
"1000392 - Sanctuary",46.694786,2.520366
"1000393 - Fanum",49.04372,1.570312
"1000394 - Mons Seleucus",44.456219,5.748653
"1000395 - Nymphaeum",47.337536,-0.232876
"1000396 - Nistos",42.981285,0.537025
"1000397 - Saint-Pé-d'Ardet",42.983734,0.669335
"1000398 - Saint-Plancard",43.171619,0.576446
"1000399 - Roquepertuse",43.532394,5.27003
"1000400 - Vaugrenier",43.623562,7.128598
"1000401 - Rognes",43.663326,5.347199
"1000402 - Puech Caut",43.970982,3.099904
"1000403 - La Réole",44.586464,-0.029494
"1000404 - Fanum d'Aron",44.926109,2.440561
"1000405 - Le Combalou",43.974461,2.987631
"1000406 - Tour de Eysses",44.419743,0.721229
"1000407 - Châtelet",45.249901,4.79432
"1000408 - Temple, Brion",45.282433,-0.838219
"1000409 - Sanctuary Rajat",45.591797,2.948923
"1000410 - Temple of Diana",45.688812,5.914636
"1000411 - Temple de Cybèle",45.759602,4.818432
"1000412 - Temple des Côtes de Clermont",45.806736,3.078307
"1000413 - Temple de Mercure, Puy de Dôme",45.771854,2.964456
"1000414 - Temple Cassinomagus",45.849098,0.767463
"1000415 - Puy Lautard",45.929768,1.869932
"1000416 - Puy-de-Joue",46.033264,1.569519
"1000417 - Chez Rigros, Saint-Pardoux",46.07193,1.3012
"1000418 - Sanctuary of Mars Mullo",47.968758,0.166472
"1000419 - Masamas",46.399273,0.972868
"1000420 - Lac-d'Antre",46.415447,5.752648
"1000421 - Sanctuary Tours Mirandes",46.740105,0.293851
"1000422 - Les Fons Clairins",46.813335,2.411545
"1000423 - Thaumiers",46.81356,2.639874
"1000424 - Le Bioulet",46.869949,5.7476
"1000425 - Sanctuary of Alléans",47.0793,2.749274
"1000426 - La Touratte",46.903824,2.548355
"1000427 - Pied de Bourges",46.946854,1.225093
"1000428 - Sanctuaries",47.139778,5.001985
"1000429 - Fourneaux",47.102268,-0.08869
"1000430 - Temple",47.305702,-0.161236
"1000431 - Villate",47.307056,2.297843
"1000432 - Petit-Mars",47.390633,-1.468336
"1000433 - Temple antique",47.3936,0.68807
"1000434 - Sources de la Seine",47.484905,4.719573
"1000435 - Temple",47.671444,-2.750201
"1000436 - Nal, La Vraie-Croix",47.700558,-2.505833
"1000437 - Moncelon",47.821045,1.476534
"1000438 - La Tour",47.83168,-0.353501
"1000439 - Le Mur",47.845501,-2.099815
"1000440 - Craon",47.869492,2.828017
"1000441 - Ruines d'un vieux temple - Membrey",47.5644,5.734408
"1000442 - Les Clairs Chênes",47.964176,5.222123
"1000443 - Plombières-les-Bains",47.965816,6.460263
"1000444 - Clos du Détour",47.996143,2.676318
"1000445 - La Furetière",47.998966,-0.705822
"1000446 - Bains-les-Bains",48.001415,6.26457
"1000447 - Bouexière",48.049622,-1.900603
"1000448 - Trouguer",48.058224,-4.705246
"1000449 - Trogouzel",48.075298,-4.314423
"1000450 - Fanum Pithiviers-le-Vieil",48.163734,2.202981
"1000451 - Juillé",48.244579,0.12194
"1000452 - Oisseau-Le-Petit",48.346451,0.075101
"1000453 - La Ferme d'Isle",48.433331,3.31667
"1000454 - Deneuvre",48.441734,6.73517
"1000455 - Asile des Pêcheurs",48.471024,-2.011823
"1000456 - Les Grèves",48.549187,3.606701
"1000457 - Nasium, temple",48.632435,5.386586
"1000458 - Wasserwald",48.713898,7.289902
"1000459 - La Butte Ronde",48.714252,1.984475
"1000460 - Arnières-sur-Iton",48.999615,1.110515
"1000461 - Les Terres Noires",49.133663,2.085254
"1000462 - Saint-Aubin-sur-Gaillon",49.148079,1.32437
"1000463 - Canetonum",49.173302,0.621389
"1000464 - Les Régales",49.246918,1.129583
"1000465 - Mare-du-Puits",49.338657,1.049869
"1000466 - Les Essarts",49.345848,1.021025
"1000467 - Estrées-Saint-Denis",49.4259,2.644821
"1000468 - Les Muguets",49.564636,1.835476
"1000469 - Ecâtelet",49.624222,1.906107
"1000470 - Le Catillon",49.656013,2.36636
"1000471 - Septeuil",48.897812,1.671292
"1000472 - Bois Titran",49.816505,2.646559
"1000473 - Le Moulin",49.854774,2.10009
"1000474 - Cartigny",49.904331,3.01797
"1000475 - Bracquemont",49.943413,1.123369
"1000476 - Ribemont-sur-Ancre",49.96442,2.55404
"1000477 - Bailleul",50.033588,1.87157
"1000478 - Les Huit Journaux",50.132519,2.34789
"1000479 - Petit fanum",50.05582,1.938265
"1000480 - Le Fief du Bac",49.887169,2.702727
"1000481 - Sanctuary",49.316475,2.604453
"1000482 - Temple",49.779976,2.392164
"1000483 - Fanum",48.697834,5.63705
"1000484 - Complexe cultuel",49.26498,5.642999
"1000485 - Fanum au Pont-Verdunois",49.158867,4.960401
"1000486 - Temple du Herapel",49.152973,6.860515
"1000487 - Temple (Les cinq fontaines)",48.656166,6.215222
"1000488 - Lascaux",45.049168,1.176111
"1000489 - Camp celtique",48.969513,7.619184
"1000490 - Mithraeum de Sarrebourg",48.730274,7.053757
"1000491 - Hafentempel Colonia Ulpia Traiana",51.66938,6.446255
"1000492 - Capitolium CCAA",50.934589,6.958396
"1000493 - Marstempel CCAA",50.937386,6.958447
"1000494 - Temples CCAA",50.934933,6.94602
"1000495 - Matronentempel",50.482342,6.618147
"1000496 - Temple Görresburg",50.482292,6.618158
"1000497 - Weihetempel",49.84346,6.42365
"1000498 - Judenkirchhof - Römischer Tempelbezirk - Pelm",50.230743,6.674787
"1000499 - Pilgerheiligtum - Sirona-Tempel - Forsthaus Hoch",49.86454,7.232887
"1000500 - Römische Tempelanlage Auf Borstadt - Schleidweiler",49.885769,6.658008
"1000501 - Römische Tempelanlage - Gusenburg",49.642498,6.925347
"1000502 - Römische Tempelanlage",50.151859,6.843915
"1000503 - Römischer Tempel - Niersbach",49.942722,6.755594
"1000504 - Römischer Tempelbezirk auf dem Metzenberg - Tawern",49.664539,6.509661
"1000505 - Römischer Tempelbezirk",50.020042,6.518407
"1000506 - Römischer Tempelbezirk - Otrang",50.013863,6.546174
"1000507 - Tempel am Herrenbrünnchen - Neu-Heiligkreuz",49.745407,6.646463
"1000508 - Tempel auf dem Gelände des Mutterhauses - Altstadt",49.754078,6.630699
"1000509 - Tempel mit Säulenvorbau - Alt-Heiligkreuz",49.746544,6.642509
"1000510 - Tempel mit Vorhalle - Alt-Heiligkreuz",49.746704,6.642539
"1000511 - Tempelanlage Beim Lindenkreuz - Münzschatz",49.703876,6.705217
"1000512 - Temple area",49.703884,6.705037
"1000513 - Temple area",50.107349,6.563914
"1000514 - Temple area",49.749973,6.613711
"1000515 - Temple area",49.89975,6.787938
"1000516 - Temple area",49.855228,7.165844
"1000517 - Temple Sanctuary",49.809135,6.606158
"1000518 - Presumed temple area",49.779331,6.582847
"1000519 - Presumed temple area",49.888115,6.518048
"1000520 - Presumed temple area",49.948616,6.576705
"1000521 - Vermutete Tempelbauten",50.032089,6.695539
"1000522 - Vermuteter Tempel",50.040829,7.073928
"1000523 - Vermutetes römisches Heiligtum - Tempelhof",49.965935,6.390636
"1000524 - Überreste eines Tempels - Grindelborn",50.141296,6.631656
"1000525 - Temple and burial precinct",49.810493,6.60087
"1000526 - Temple area",49.297417,7.2925
"1000527 - Temple of Mercury",50.293213,7.570019
"1000528 - Temple area",50.17915,7.286287
"1000529 - Sanctuary - Temple",50.191593,8.204134
"1000530 - Apollo-Grannus-Tempel (Faimingen)",48.561783,10.409117
"1000531 - Bergheiligtum auf dem Calmont",50.109138,7.12365
"1000532 - Spring Sanctuary (Sudelfels)",49.336136,6.606687
"1000533 - Temple area",50.533657,6.703
"1000534 - Matronenheiligtum ""Vor Hirschberg""",50.502647,6.651904
"1000535 - Mithraeum",49.222488,7.02788
"1000536 - Temple",47.57542,7.761292
"1000537 - Cult area",48.548004,10.290641
"1000538 - Mithraeum",48.274055,10.87458
"1000539 - Römisches Haus",48.762733,9.101792
"1000540 - Temple of Diana",47.986389,9.053611
"1000541 - Lapidarium",48.970776,9.286698
"1000542 - Spring Sanctuary",49.890659,6.442838
"1000543 - Bergheiligtum auf dem Beinter Kopf",50.012611,7.178739
"1000544 - Wachtturm 10-37b ""Schneidershecke""",49.550064,9.128879
"1000545 - Mithraeum",49.061623,9.005662
"1000546 - Temple area",47.727634,10.322745
"1000547 - Temple",47.801346,7.671381
"1000548 - Varnenum",50.729584,6.193684
"1000549 - Mithraeum",49.373943,8.157275
"1000550 - Mithraeum",49.073357,10.832198
"1000551 - Dolichenum Vetoniana",48.882706,11.263725
"1000552 - Bergheiligtum",49.543842,7.561576
"1000553 - Mithraeum Pons Aeni",47.895569,12.146881
"1000554 - Mithraeum",48.150002,7.746531
"1000555 - Temple of Cimbrian Mercury",49.425861,8.706383
"1000556 - Fossa Sanguinis",51.183834,6.717542
"1000557 - Maienbühl, Riehen",47.594391,7.68094
"1000558 - Mithraeum",49.008961,9.210657
"1000559 - Temple",48.496727,10.119792
"1000560 - Mithraeum Arnsburg",50.484314,8.78527
"1000561 - Temple",49.03854,9.04568
"1000562 - Mountain Sanctuary",48.407143,8.020556
"1000563 - Mithraeum I",49.06266,9.00468
"1000564 - Mithraeum I",49.415855,8.679235
"1000565 - Mithraeum II",49.413967,8.693815
"1000566 - Temple area",49.692158,9.241514
"1000567 - Temple",47.84251,8.939867
"1000568 - Weihebezirk",49.430134,9.425451
"1000569 - Temple area",48.478004,8.932575
"1000570 - Temple area I",48.154785,8.64558
"1000571 - Temple area II",48.15276,8.645009
"1000572 - Sanctuary",48.814072,9.508077
"1000573 - Merkurheiligtum (Sauhag)",48.673996,9.293082
"1000574 - Tempel (Unterböbingen)",48.817959,9.92597
"1000575 - Sanctuary (St. Johann)",48.952354,8.365316
"1000576 - Temple",49.013542,9.176175
"1000577 - Temple on the Kalkarberg",51.728806,6.285232
"1000578 - Temple",49.702648,9.236975
"1000579 - Mithraeum (Ober-Florstadt)",50.325161,8.875741
"1000580 - Sanctuary (Heidenpütz)",49.84407,7.072406
"1000581 - Temple",50.356865,6.866581
"1000582 - Sanctuary of Mercury (Gangloff)",49.653168,7.706888
"1000583 - Temple of Mercury (Bingen)",49.966831,7.8924
"1000584 - Sanctuary",49.977505,6.526544
"1000585 - Temple of the Matronae",51.664839,6.444823
"1000586 - Temple area",50.218475,7.2154
"1000587 - Temple (Heidenkopf)",49.434444,7.288409
"1000588 - Temple (Lohrsdorf)",50.552776,7.193636
"1000589 - Spring Sanctuary Kasbruch",49.337135,7.213664
"1000590 - Mithraeum",51.659077,6.462894
"1000591 - Temple",50.775005,6.085007
"1000592 - Temple",48.411995,10.137369
"1000593 - (K)ein Mithrasheiligtum (Saalburg)",50.268448,8.568121
"1000594 - Mithraeum",49.90197,8.846936
"1000595 - Sanctuary",49.985161,8.180348
"1000596 - Brandopferplatz",48.047626,10.373531
"1000597 - Rosmerta-Tempel",50.439079,7.389761
"1000598 - Temple",49.841267,6.899114
"1000599 - Temple",49.863735,6.923764
"1000600 - Sironatempel",49.850479,7.291307
"1000601 - Temple of Mercury",49.785912,7.768484
"1000602 - Mithraeum",49.628971,7.806087
"1000603 - Temple",50.726795,7.085428
"1000604 - Mithraeum",50.084049,8.238866
"1000605 - Mithraeum",50.081806,8.977619
"1000606 - Forum Augusta Vindelicum",48.37579,10.900263
"1000607 - Temple",50.935829,6.581988
"1000608 - Heidentempel Kreuzweingarten",50.613701,6.79086
"1000609 - Tempelsäulen",50.001255,8.268003
"1000610 - Tempelreste",50.733246,7.100145
"1000611 - Temple Ulpia Noviomagus",51.367474,6.611528
"1000612 - Temple Ziegetsberg",48.99202,12.069141
"1000614 - Temple of Artemis Amarysia",38.3871,23.9089
"1000615 - Temple of Zeus",39.201218,29.609631
"1000616 - Temple of Jupiter",43.508341,16.439568
"1000617 - Temple of Bacchus",34.006143,36.203873
"1000618 - Temple of Venus",34.006021,36.20623
"1000619 - Temple of Artemis",32.281952,35.890922
"1000620 - Temple of Jupiter",32.276571,35.889929
"1000621 - Capitolium",36.422891,9.218169
"1000622 - Temple of Juno Caelestis",36.422903,9.215682
